model,sample_id,course,page,status,has_reference,reference_origin,cer,wer,reading_order_f1,math_symbol_f1,token_recall,token_precision,token_f1,char_lcs_recall,cost_usd,equation,table,multi_column,diagram
allenai/olmOCR-2-7B-1025,comp447__9ab41efa3a__p0047,comp447,47,ok,True,gold,0.3129251700680272,0.4318181818181818,0.7368421052631579,0.25,0.6590909090909091,1.0,0.7945205479452054,0.782312925170068,0.00026168,True,True,True,False
allenai/olmOCR-2-7B-1025,comp447__9ab41efa3a__p0058,comp447,58,ok,True,gold,0.0364741641337386,0.05263157894736842,0.46153846153846156,1.0,1.0,0.9827586206896551,0.9913043478260869,0.9908814589665653,0.00027156,False,False,False,False
allenai/olmOCR-2-7B-1025,comp474__45d4e8c3f0__p0028,comp474,28,ok,True,gold,1.0,1.0,0.11428571428571428,0.6666666666666666,0.47058823529411764,0.07441860465116279,0.1285140562248996,0.8203592814371258,0.00024938,True,False,False,True
allenai/olmOCR-2-7B-1025,comp474__45d4e8c3f0__p0047,comp474,47,ok,True,gold,1.0,1.0,0.046153846153846156,1.0,0.47058823529411764,0.10256410256410256,0.16842105263157894,0.6634615384615384,0.00028491,False,False,False,True
allenai/olmOCR-2-7B-1025,ece110__ab42139654__p0221,ece110,221,ok,True,gold,1.0,1.0,0.38095238095238093,0.2608695652173913,0.8666666666666667,0.08196721311475409,0.1497695852534562,0.9427860696517413,0.00046736,True,True,True,False
allenai/olmOCR-2-7B-1025,ece110__ab42139654__p0367,ece110,367,ok,True,gold,1.0,1.0,0.6666666666666666,0.19999999999999998,0.9662921348314607,0.2144638403990025,0.35102040816326524,0.9452954048140044,0.00040105,True,False,False,False
allenai/olmOCR-2-7B-1025,engl101__1780ffe331__p0192,engl101,192,ok,True,gold,1.0,1.0,0.16666666666666666,0.4444444444444445,0.95,0.13636363636363635,0.2384937238493723,0.9209809264305178,0.00030943,True,False,False,False
allenai/olmOCR-2-7B-1025,engl101__1780ffe331__p0303,engl101,303,ok,True,gold,1.0,1.0,0.06060606060606061,0.6666666666666666,0.6630434782608695,0.11641221374045801,0.19805194805194806,0.7796610169491526,0.00028644,True,False,True,False
allenai/olmOCR-2-7B-1025,germ101__455d6f8b44__p0001,germ101,1,ok,True,gold,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00025674,False,False,False,True
allenai/olmOCR-2-7B-1025,germ101__455d6f8b44__p0002,germ101,2,ok,True,gold,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00026035,False,False,False,True
allenai/olmOCR-2-7B-1025,math101__534b79affb__p0017,math101,17,ok,True,gold,0.3293269230769231,0.3953488372093023,0.13559322033898305,0.5714285714285715,0.8837209302325582,0.7549668874172185,0.8142857142857143,0.9278846153846154,0.00035785,True,True,True,False
allenai/olmOCR-2-7B-1025,math101__534b79affb__p0020,math101,20,ok,True,gold,0.187207488299532,0.32947976878612717,0.43478260869565216,1.0,0.9421965317919075,0.7442922374429224,0.8316326530612246,0.9812792511700468,0.00035196,True,False,False,False
allenai/olmOCR-2-7B-1025,math190__58389d5f19__p0506,math190,506,ok,True,gold,1.0,1.0,0.04878048780487805,0.07547169811320754,0.6,0.026929982046678635,0.05154639175257732,0.8690909090909091,0.00044161,True,True,True,False
allenai/olmOCR-2-7B-1025,math190__58389d5f19__p0809,math190,809,ok,True,gold,1.0,1.0,0.0,0.26666666666666666,0.8372093023255814,0.10207939508506617,0.18197135636057288,0.8634146341463415,0.00044085,True,False,True,False
allenai/olmOCR-2-7B-1025,math196__909a9aa503__p0001,math196,1,ok,True,gold,1.0,1.0,0.07142857142857142,0.6071428571428571,0.6764705882352942,0.26953125,0.3854748603351955,0.7747252747252747,0.00033904,False,False,False,True
allenai/olmOCR-2-7B-1025,math196__909a9aa503__p0002,math196,2,ok,True,gold,1.0,1.0,0.0,0.5535714285714285,0.7908496732026143,0.3201058201058201,0.455743879472693,0.7338403041825095,0.00034702,False,False,False,True
allenai/olmOCR-2-7B-1025,math225__18210815f0__p0347,math225,347,ok,True,gold,1.0,1.0,0.0,0.0,0.5520833333333334,0.2217573221757322,0.31641791044776124,0.5790960451977402,0.00040915,True,True,True,False
allenai/olmOCR-2-7B-1025,math225__18210815f0__p0427,math225,427,ok,True,gold,1.0,1.0,0.11764705882352941,0.59375,0.9583333333333334,0.19852034525277434,0.3289070480081716,0.9796296296296296,0.00043328,True,False,True,False
allenai/olmOCR-2-7B-1025,math280__d6ddca3fb2__p0001,math280,1,ok,True,gold,0.5270758122743683,0.7277486910994765,0.11764705882352941,0.8372093023255813,0.7958115183246073,0.5448028673835126,0.6468085106382979,0.9422382671480144,0.00035557,False,False,False,True
allenai/olmOCR-2-7B-1025,math280__d6ddca3fb2__p0002,math280,2,ok,True,gold,1.0,1.0,0.05714285714285714,0.7111111111111111,0.7593582887700535,0.3594936708860759,0.4879725085910652,0.9101123595505618,0.00036621,False,False,False,True
allenai/olmOCR-2-7B-1025,mgt281__bb4d253bd2__p0030,mgt281,30,ok,True,gold,0.13793103448275862,0.26666666666666666,0.2857142857142857,1.0,0.7333333333333333,1.0,0.846153846153846,0.8793103448275862,0.00026795,True,False,True,True
allenai/olmOCR-2-7B-1025,mgt281__bb4d253bd2__p0035,mgt281,35,ok,True,gold,0.14761904761904762,0.27586206896551724,0.2857142857142857,1.0,0.7241379310344828,1.0,0.8400000000000001,0.861904761904762,0.00026719,True,False,True,False
allenai/olmOCR-2-7B-1025,mktg291__574f440804__p0468,mktg291,468,ok,True,gold,0.01466275659824047,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00027213,False,False,False,False
allenai/olmOCR-2-7B-1025,mktg291__574f440804__p0646,mktg291,646,ok,True,gold,0.04296296296296296,0.06584362139917696,0.07407407407407407,1.0,0.934156378600823,1.0,0.9659574468085107,0.9762962962962963,0.00033958,True,False,True,False
allenai/olmOCR-2-7B-1025,te4800__93b9308d57__p0023,te4800,23,ok,True,gold,0.7033582089552238,0.5431034482758621,0.041666666666666664,0.7578947368421053,0.7931034482758621,0.6524822695035462,0.7159533073929961,0.7126865671641791,0.00011796,True,True,True,False
